1, OVERCAST, 227, 227, 11.64899724, correct
1, CLOUDS, 71, 71, 9.201211868, correct
1, THUNDER, 120, 193, 18.49159517, correct
1, CLEAR, 68, 63, 11.11321469, correct
1, OVERCAST, 244, 244, 15.32822234, correct
1, SMOG, 66, 66, 19.49632582, correct
1, FOGGY, 170, 150, 12.29945064, correct
1, SMOG, 255, 255, 17.5567928, correct
1, EXTRASUNNY, 187, 184, 17.16804856, correct
1, BLIZZARD, 60, 60, 6.945191087, correct
1, CLEAR, 229, 229, 15.92009721, correct
1, THUNDER, 255, 255, 12.25380016, correct
1, CLOUDS, 120, 82, 12.90146499, correct
1, EXTRASUNNY, 150, 126, 16.15567141, correct
1, NEUTRAL, 247, 247, 16.93891209, correct
1, NEUTRAL, 112, 112, 8.393581989, correct
1, CLEAR, 186, 183, 8.395151558, correct
1, OVERCAST, 154, 188, 10.40011915, correct
1, FOGGY, 35, 35, 14.29585634, correct
1, EXTRASUNNY, 79, 79, 10.11553659, correct
1, OVERCAST, 223, 223, 16.42214453, correct
1, SNOW, 127, 95, 11.06809897, correct
1, CLEAR, 114, 153, 16.27026263, correct
1, CLEAR, 161, 153, 17.18733922, correct
1, EXTRASUNNY, 216, 216, 11.45898466, correct
1, CLOUDS, 64, 64, 12.54428412, correct
1, FOGGY, 214, 214, 18.52990648, correct
1, EXTRASUNNY, 17, 17, 16.3639861, correct
1, CLEAR, 39, 39, 19.51372895, correct
1, CLOUDS, 238, 158, 10.59682289, correct
1, CLOUDS, 134, 96, 17.76230522, correct
1, CLEAR, 155, 149, 11.79028043, correct
1, RAIN, 51, 50, 8.066398126, correct
1, CLEAR, 97, 97, 13.23345967, correct
1, CLOUDS, 37, 37, 18.23126128, correct
1, RAIN, 163, 132, 15.78490465, correct
1, SMOG, 56, 55, 15.82914659, correct
1, OVERCAST, 75, 70, 14.80410285, correct
1, EXTRASUNNY, 242, 241, 13.88956365, correct
1, EXTRASUNNY, 235, 235, 10.96858985, correct
1, CLOUDS, 240, 240, 11.50584027, correct
1, CLOUDS, 143, 120, 13.57939544, correct
1, CLOUDS, 129, 127, 12.13055617, correct
1, EXTRASUNNY, 152, 100, 18.17517396, correct
1, NEUTRAL, 250, 249, 13.85987527, correct
1, CLEARING, 169, 172, 10.60920935, correct
1, EXTRASUNNY, 35, 35, 10.70124828, correct
1, CLOUDS, 255, 255, 15.75954274, correct
1, EXTRASUNNY, 120, 133, 14.94881416, correct
1, FOGGY, 69, 83, 11.61946743, correct
1, OVERCAST, 74, 74, 16.63644208, correct
1, NEUTRAL, 28, 28, 8.412832331, correct
1, OVERCAST, 127, 127, 16.08333559, correct
1, CLEARING, 164, 128, 12.50789071, correct
1, CLEAR, 254, 254, 9.32193359, correct
1, FOGGY, 169, 169, 14.53115567, correct
1, THUNDER, 26, 26, 17.8466135, correct
1, OVERCAST, 58, 58, 14.80367108, correct
1, NEUTRAL, 112, 112, 7.738426059, correct
1, CLEAR, 24, 24, 13.6626465, correct
1, EXTRASUNNY, 247, 247, 17.48566326, correct
1, OVERCAST, 106, 191, 11.53294422, correct
1, RAIN, 100, 100, 9.262636213, correct
1, RAIN, 153, 203, 8.79501573, correct
1, EXTRASUNNY, 34, 34, 16.71909078, correct
1, CLOUDS, 173, 134, 7.204149906, correct
1, CLOUDS, 239, 239, 18.98586665, correct
1, CLEAR, 183, 155, 12.17243326, correct
1, EXTRASUNNY, 53, 53, 10.22687134, correct
1, EXTRASUNNY, 174, 109, 17.12308762, correct
1, EXTRASUNNY, 116, 103, 15.37286332, correct
1, CLEAR, 86, 84, 13.330291, correct
1, NEUTRAL, 153, 157, 9.265694175, correct
1, OVERCAST, 139, 139, 14.91309534, correct
1, OVERCAST, 223, 223, 11.46540757, correct
1, CLEAR, 86, 139, 12.02115132, correct
1, CLOUDS, 108, 104, 14.78350105, correct
1, THUNDER, 108, 107, 11.07500374, correct
1, OVERCAST, 169, 166, 9.481816664, correct
1, OVERCAST, 119, 136, 11.67383784, correct
1, CLEAR, 200, 192, 18.67673182, correct
1, CLEAR, 172, 172, 9.051655226, correct
1, EXTRASUNNY, 183, 183, 16.51160577, correct
1, EXTRASUNNY, 54, 54, 14.38779188, correct
1, FOGGY, 43, 43, 14.05859703, correct
1, EXTRASUNNY, 255, 255, 15.94250621, correct
1, CLOUDS, 153, 135, 13.1826133, correct
1, CLOUDS, 48, 48, 16.83497204, correct
1, EXTRASUNNY, 147, 147, 13.16706145, correct
1, CLEAR, 41, 41, 18.51164429, correct
1, THUNDER, 189, 189, 6.964439986, correct
1, RAIN, 127, 127, 11.24069257, correct
1, EXTRASUNNY, 180, 72, 14.29521856, correct
1, CLOUDS, 89, 77, 12.47903392, correct
1, CLEAR, 33, 33, 16.56609837, correct
1, EXTRASUNNY, 198, 198, 16.39744696, correct
1, FOGGY, 147, 127, 12.75140667, correct
1, EXTRASUNNY, 161, 161, 13.38509288, correct
1, CLEAR, 77, 77, 18.79598506, correct
1, CLOUDS, 255, 255, 13.14880405, correct
1, EXTRASUNNY, 70, 60, 19.71446146, correct
1, THUNDER, 255, 255, 19.14322993, correct
1, CLEAR, 148, 148, 12.07712133, correct
1, EXTRASUNNY, 172, 79, 15.54296604, correct
1, CLOUDS, 204, 135, 13.72607879, correct
1, EXTRASUNNY, 170, 75, 12.7676145, correct
1, SMOG, 124, 124, 15.20510319, correct
1, CLOUDS, 114, 188, 15.41065643, correct
1, CLOUDS, 137, 137, 11.26526444, correct
1, EXTRASUNNY, 160, 160, 14.91588452, correct
1, EXTRASUNNY, 191, 187, 14.20705218, correct
1, OVERCAST, 255, 255, 14.07694002, correct
1, CLEAR, 232, 232, 12.65427386, correct
1, NEUTRAL, 232, 232, 15.38655938, correct
1, CLOUDS, 145, 145, 13.3251454, correct
1, NEUTRAL, 138, 137, 8.611651329, correct
1, EXTRASUNNY, 118, 118, 10.22881794, correct
1, CLOUDS, 46, 46, 6.378550253, correct
1, CLEAR, 194, 194, 8.181201694, correct
1, FOGGY, 71, 71, 13.25855804, correct
1, EXTRASUNNY, 118, 116, 8.754895735, correct
1, NEUTRAL, 255, 255, 13.04538333, correct
1, OVERCAST, 147, 147, 8.51121302, correct
1, CLOUDS, 57, 56, 13.73268953, correct
1, CLOUDS, 124, 113, 15.54725476, correct
1, CLOUDS, 80, 80, 16.94122908, correct
1, THUNDER, 192, 159, 13.52667688, correct
1, EXTRASUNNY, 253, 253, 16.93867553, correct
1, CLOUDS, 222, 222, 10.50685311, correct
1, THUNDER, 234, 234, 10.75362697, correct
1, OVERCAST, 255, 255, 14.74126734, correct
1, OVERCAST, 216, 216, 9.132865855, correct
1, CLOUDS, 37, 37, 11.96477209, correct
1, CLOUDS, 147, 147, 10.5967326, correct
1, THUNDER, 246, 246, 9.157955167, correct
1, NEUTRAL, 213, 186, 16.51450066, correct
1, CLOUDS, 0, 0, 12.15265042, correct
1, NEUTRAL, 33, 33, 15.46870329, correct
1, EXTRASUNNY, 228, 228, 8.837426571, correct
1, FOGGY, 149, 92, 17.35249126, correct
1, EXTRASUNNY, 127, 158, 18.8848051, correct
1, CLEARING, 138, 51, 14.52562561, correct
1, SMOG, 45, 45, 19.68907553, correct
1, SNOWLIGHT, 127, 127, 17.46962922, correct
1, FOGGY, 171, 171, 10.94021508, correct
1, THUNDER, 159, 159, 11.99987332, correct
1, CLOUDS, 255, 255, 15.31084005, correct
1, SMOG, 56, 56, 7.616553589, correct
1, SMOG, 127, 127, 17.55439245, correct
1, EXTRASUNNY, 255, 255, 10.47292601, correct
1, NEUTRAL, 150, 187, 10.58878813, correct
1, EXTRASUNNY, 56, 56, 12.74499292, correct
1, OVERCAST, 234, 234, 9.900733253, correct
1, THUNDER, 146, 71, 8.172621721, correct
1, CLEAR, 89, 89, 15.94807226, correct
1, THUNDER, 104, 103, 9.397309576, correct
1, EXTRASUNNY, 102, 102, 17.53139688, correct
1, OVERCAST, 222, 222, 11.986306, correct
1, RAIN, 127, 127, 13.74040864, correct
1, THUNDER, 103, 103, 14.86303726, correct
1, CLOUDS, 111, 111, 14.80367108, correct
1, CLEARING, 223, 223, 16.41345595, correct
1, OVERCAST, 127, 127, 11.12142306, correct
1, OVERCAST, 29, 29, 19.03010533, correct
1, CLEAR, 171, 171, 10.19720315, correct
1, CLEARING, 142, 166, 7.869890928, correct
1, NEUTRAL, 204, 156, 8.936071669, correct
1, OVERCAST, 38, 38, 12.76440513, correct
1, CLEAR, 190, 179, 11.50466402, correct
1, THUNDER, 108, 167, 13.34537382, correct
1, NEUTRAL, 159, 159, 13.34431833, correct
1, NEUTRAL, 107, 107, 8.394045913, correct
1, OVERCAST, 33, 33, 12.97080552, correct
1, OVERCAST, 244, 244, 12.05492558, correct
1, FOGGY, 28, 28, 10.09845002, correct
1, RAIN, 152, 86, 7.257434748, correct
1, CLOUDS, 101, 101, 11.5175907, correct
1, NEUTRAL, 0, 0, 9.818220064, correct
1, RAIN, 195, 104, 19.49114793, correct
1, CLEAR, 98, 98, 13.44432457, correct
1, EXTRASUNNY, 93, 93, 17.43937261, correct
1, EXTRASUNNY, 255, 255, 14.40634401, correct
1, RAIN, 153, 153, 11.09899534, correct
1, NEUTRAL, 95, 93, 11.2124509, correct
1, OVERCAST, 210, 120, 14.78967048, correct
1, SMOG, 89, 76, 19.13898905, correct
1, CLEAR, 82, 82, 13.46415002, correct
1, CLEAR, 43, 43, 7.357990636, correct
1, BLIZZARD, 228, 222, 11.99356813, correct
1, THUNDER, 183, 183, 18.64562086, correct
1, SMOG, 125, 122, 14.04216257, correct
1, THUNDER, 200, 199, 18.83601506, correct
1, CLEAR, 130, 130, 14.18766749, correct
1, THUNDER, 221, 221, 16.84151237, correct
1, CLEAR, 90, 101, 9.347732436, correct
1, CLEAR, 45, 42, 7.995533231, correct
1, SNOW, 78, 78, 13.71871454, correct
1, FOGGY, 61, 61, 19.53969929, correct
1, CLEAR, 51, 47, 16.86870872, correct
1, SMOG, 130, 64, 11.88846883, correct
1, RAIN, 255, 255, 10.21201172, correct
1, EXTRASUNNY, 250, 250, 18.6672372, correct
1, THUNDER, 131, 140, 15.68388441, correct
1, CLOUDS, 141, 141, 14.80367108, correct
1, CLEARING, 107, 107, 11.21855932, correct
1, CLEARING, 56, 56, 14.30089959, correct
1, RAIN, 223, 223, 13.48588559, correct
1, FOGGY, 106, 106, 9.321108353, correct
1, CLOUDS, 48, 48, 8.42998334, correct
1, OVERCAST, 199, 164, 12.2919157, correct
1, EXTRASUNNY, 246, 246, 6.195045194, correct
1, THUNDER, 237, 237, 11.61728246, correct
1, FOGGY, 150, 103, 15.24781333, correct
1, CLOUDS, 249, 249, 10.13507526, correct
1, BLIZZARD, 233, 233, 10.9413334, correct
1, EXTRASUNNY, 193, 193, 14.08591387, correct
1, EXTRASUNNY, 121, 69, 13.42738576, correct
1, THUNDER, 66, 66, 13.68869491, correct
1, RAIN, 202, 188, 19.55554818, correct
1, CLEAR, 55, 55, 18.54417861, correct
1, EXTRASUNNY, 66, 66, 14.76974661, correct
1, SMOG, 107, 107, 5.929241708, correct
1, NEUTRAL, 31, 31, 16.31224772, correct
1, CLOUDS, 255, 255, 7.459333485, correct
1, EXTRASUNNY, 169, 169, 16.94470115, correct
1, RAIN, 131, 131, 19.37926683, correct
